264,154.6
98.6,107.2
101.2,98.2
778.8,111.5
904.4,111.8
107.3,160.6
66.1,168.2
410.3,186.1
593,169.9
746.4,162.5
745.7,164.3
887.6,153.9
179.6,179.8
431.8,187.7
209.5,294.3
337.7,301.2
89.1,283.3
598.8,305.6
494.4,323.7
812.7,307.7
938,297.5
101.7,367.1
108.4,329.6
497.3,334
686.7,304.3
829.3,340.9
212.5,425.5
175.6,433.6
42.8,415.5
89,547
373.5,517.6
500.7,479.5
825.4,470.4
823.1,496.4
730.6,387
727.8,392.2
788.7,397.8
521.2,415.7
260.3,484.5
54.7,468.2
189.3,413.2
839.4,403.5
919.6,402.7
75.4,472.3
33.7,482.7
86.4,442.1
159.3,472.9
292.2,174.5
142.8,180.4
134.7,133.7
155.5,107.1
756.7,174.5
625.3,117.3
830.8,229.7
879.2,213.2
827.1,211.1
847.7,323.5
848,330.3
915.5,336.7
881.4,323.5
132.8,222.5
209.4,219.9
246.1,214.7
340.4,222.5
390,212.6
500.1,227.5
574.6,236.3
758.9,231.5
840.4,222.5
108.5,373.8
185.4,371.5
276.8,371.5
333.7,371.5
418.9,381.3
511.9,389.3
600.4,371.5
729.9,405.1
934.5,421
968,404.4
810.1,409.8
44.5,479.5
177.5,479.5
330.9,421
452.9,421
373,421
749.5,431.9
918.9,428.6
881.1,421
945.7,421
828.4,421
808.2,406.8
893.5,436.4
884.6,421
939,437.5
977.7,437.4
46.8,522.5
101.5,514.6
64.8,511.7
46,516.3
126.1,524.2
181.1,537.1
244.9,522.5
172.8,522.5
65.4,525.2
249.1,123.9
667.2,224.8
679.2,175.1
835.3,167.7
860.2,172.8
139.7,219.2
255.9,216.2
405,219.8
513.7,225.3
577.3,222.3
804.7,209.8
882.7,208.8
70.3,319.2
138.7,325.7
235.1,328.3
289.9,367.7
446.9,375.1
531.3,373.2
604.8,373.7
711.2,372.9
834.1,373.3
879.3,374.2
129.2,409.9
268.8,416.8
394.1,425.3
493.1,430.1
566.8,429.8
662.9,420.9
736.1,427.7
792.7,426.8
871.1,433.2
929.8,430.1
106.7,469
209.7,473.3
294.3,481.9
348.8,482.3
422.8,480.2
512.2,483.3
571.7,490.2
339.9,531.1
108.9,554.8
584.9,567.9
761.2,416.3
816.2,419.1
884.3,426.2
948.9,414.2
98.7,463.7
138.2,471.8
206.8,474.2
282.7,477.8
328.7,480.9
392.8,479.2
463.3,481.2
522.8,483.1
563.9,481.2
633.3,480.8
651.8,469.9
62.8,108.9
75.8,178.7
161.1,110.9
176.9,118.2
242.8,115.7
354.3,125.2
553.2,118.9
587.8,116.8
644.1,121.2
731.1,111.9
789.2,107.1
854.9,109.8
897.7,115.3
141.7,169.1
145.2,181.9
216.3,171.3
277.7,167.3
320.2,168.8
387.9,167.7
445.7,162.3
501.8,163.8
564.7,164.1
557.3,180.9
644.8,181.7
696.7,175.7
774.1,169.1
843.8,166.7
905.3,168.7
936.9,166.7
181.7,228.9
243.3,217
304.8,214.1
402.8,225.2
467.1,224.2
533.7,219.1
631.9,222.1
721.9,218.7
821.7,224.3
78.9,259.8
97.1,273.8
161.7,268.1
214.9,267.8
74.8,318.2
140.9,322.8
77.2,381.1
140.7,384.9
259.7,371.1
354.1,372.3
472.2,372.7
526.7,371.3
489.1,411.2
574.9,399.9
654.1,399.9
683.3,417.1
765.8,421.8
836.2,430.9
